Name,ShortName,LevelType,CityCode,ZipCode,MergerName,lng,Lat,Pinyin
宁夏回族自治区,宁夏,1,,,中国-宁夏回族自治区,106.278179,38.46637,Ningxia
银川市,银川,2,951,750004,中国-宁夏回族自治区-银川市,106.278179,38.46637,Yinchuan
兴庆区,兴庆,3,951,750001,中国-宁夏回族自治区-银川市-兴庆区,106.28872,38.47392,Xingqing
西夏区,西夏,3,951,750021,中国-宁夏回族自治区-银川市-西夏区,106.15023,38.49137,Xixia
金凤区,金凤,3,951,750011,中国-宁夏回族自治区-银川市-金凤区,106.24261,38.47294,Jinfeng
永宁县,永宁,3,951,750100,中国-宁夏回族自治区-银川市-永宁县,106.2517,38.27559,Yongning
贺兰县,贺兰,3,951,750200,中国-宁夏回族自治区-银川市-贺兰县,106.34982,38.5544,Helan
灵武市,灵武,3,951,750004,中国-宁夏回族自治区-银川市-灵武市,106.33999,38.10266,Lingwu
石嘴山市,石嘴山,2,952,753000,中国-宁夏回族自治区-石嘴山市,106.376173,39.01333,Shizuishan
大武口区,大武口,3,952,753000,中国-宁夏回族自治区-石嘴山市-大武口区,106.37717,39.01226,Dawukou
惠农区,惠农,3,952,753600,中国-宁夏回族自治区-石嘴山市-惠农区,106.71145,39.13193,Huinong
平罗县,平罗,3,952,753400,中国-宁夏回族自治区-石嘴山市-平罗县,106.54538,38.90429,Pingluo
吴忠市,吴忠,2,953,751100,中国-宁夏回族自治区-吴忠市,106.199409,37.986165,Wuzhong
利通区,利通,3,953,751100,中国-宁夏回族自治区-吴忠市-利通区,106.20311,37.98512,Litong
红寺堡区,红寺堡,3,953,751900,中国-宁夏回族自治区-吴忠市-红寺堡区,106.19822,37.99747,Hongsibao
盐池县,盐池,3,953,751500,中国-宁夏回族自治区-吴忠市-盐池县,107.40707,37.7833,Yanchi
同心县,同心,3,953,751300,中国-宁夏回族自治区-吴忠市-同心县,105.91418,36.98116,Tongxin
青铜峡市,青铜峡,3,953,751600,中国-宁夏回族自治区-吴忠市-青铜峡市,106.07489,38.02004,Qingtongxia
固原市,固原,2,954,756000,中国-宁夏回族自治区-固原市,106.285241,36.004561,Guyuan
原州区,原州,3,954,756000,中国-宁夏回族自治区-固原市-原州区,106.28778,36.00374,Yuanzhou
西吉县,西吉,3,954,756200,中国-宁夏回族自治区-固原市-西吉县,105.73107,35.96616,Xiji
隆德县,隆德,3,954,756300,中国-宁夏回族自治区-固原市-隆德县,106.12426,35.61718,Longde
泾源县,泾源,3,954,756400,中国-宁夏回族自治区-固原市-泾源县,106.33902,35.49072,Jingyuan
彭阳县,彭阳,3,954,756500,中国-宁夏回族自治区-固原市-彭阳县,106.64462,35.85076,Pengyang
中卫市,中卫,2,955,751700,中国-宁夏回族自治区-中卫市,105.189568,37.514951,Zhongwei
沙坡头区,沙坡头,3,955,755000,中国-宁夏回族自治区-中卫市-沙坡头区,105.18962,37.51044,Shapotou
中宁县,中宁,3,955,751200,中国-宁夏回族自治区-中卫市-中宁县,105.68515,37.49149,Zhongning
海原县,海原,3,955,751800,中国-宁夏回族自治区-中卫市-海原县,105.64712,36.56498,Haiyuan
新疆维吾尔自治区,新疆,1,,,中国-新疆维吾尔自治区,87.617733,43.792818,Xinjiang
乌鲁木齐市,乌鲁木齐,2,991,830002,中国-新疆维吾尔自治区-乌鲁木齐市,87.617733,43.792818,Urumqi
天山区,天山,3,991,830002,中国-新疆维吾尔自治区-乌鲁木齐市-天山区,87.63167,43.79439,Tianshan
沙依巴克区,沙依巴克,3,991,830000,中国-新疆维吾尔自治区-乌鲁木齐市-沙依巴克区,87.59788,43.80118,Shayibake
新市区,新市,3,991,830011,中国-新疆维吾尔自治区-乌鲁木齐市-新市区,87.57406,43.84348,Xinshi
水磨沟区,水磨沟,3,991,830017,中国-新疆维吾尔自治区-乌鲁木齐市-水磨沟区,87.64249,43.83247,Shuimogou
头屯河区,头屯河,3,991,830022,中国-新疆维吾尔自治区-乌鲁木齐市-头屯河区,87.29138,43.85487,Toutunhe
达坂城区,达坂城,3,991,830039,中国-新疆维吾尔自治区-乌鲁木齐市-达坂城区,88.30697,43.35797,Dabancheng
米东区,米东,3,991,830019,中国-新疆维吾尔自治区-乌鲁木齐市-米东区,87.68583,43.94739,Midong
乌鲁木齐县,乌鲁木齐,3,991,830063,中国-新疆维吾尔自治区-乌鲁木齐市-乌鲁木齐县,87.40939,43.47125,Wulumuqi
克拉玛依市,克拉玛依,2,990,834000,中国-新疆维吾尔自治区-克拉玛依市,84.873946,45.595886,Karamay
独山子区,独山子,3,992,834021,中国-新疆维吾尔自治区-克拉玛依市-独山子区,84.88671,44.32867,Dushanzi
克拉玛依区,克拉玛依,3,990,834000,中国-新疆维吾尔自治区-克拉玛依市-克拉玛依区,84.86225,45.59089,Kelamayi
白碱滩区,白碱滩,3,990,834008,中国-新疆维吾尔自治区-克拉玛依市-白碱滩区,85.13244,45.68768,Baijiantan
乌尔禾区,乌尔禾,3,990,834012,中国-新疆维吾尔自治区-克拉玛依市-乌尔禾区,85.69143,46.09006,Wuerhe
吐鲁番地区,吐鲁番,2,995,838000,中国-新疆维吾尔自治区-吐鲁番地区,89.184078,42.947613,Turpan
吐鲁番市,吐鲁番,3,995,838000,中国-新疆维吾尔自治区-吐鲁番地区-吐鲁番市,89.18579,42.93505,Tulufan
鄯善县,鄯善,3,995,838200,中国-新疆维吾尔自治区-吐鲁番地区-鄯善县,90.21402,42.8635,Shanshan
托克逊县,托克逊,3,995,838100,中国-新疆维吾尔自治区-吐鲁番地区-托克逊县,88.65823,42.79231,Tuokexun
哈密地区,哈密,2,902,839000,中国-新疆维吾尔自治区-哈密地区,93.51316,42.833248,Hami
哈密市,哈密,3,902,839000,中国-新疆维吾尔自治区-哈密地区-哈密市,93.51452,42.82699,Hami
巴里坤哈萨克自治县,巴里坤,3,902,839200,中国-新疆维吾尔自治区-哈密地区-巴里坤哈萨克自治县,93.01236,43.59993,Balikun
伊吾县,伊吾,3,902,839300,中国-新疆维吾尔自治区-哈密地区-伊吾县,94.69403,43.2537,Yiwu
